scheme_name,government_level,state_or_ut,ministry_or_department,category,short_description,status_confidence,official_source_url,secondary_source_url,last_checked_date,age_min,age_max,gender,income_type,income_min,income_max,state_or_ut_requirement,domicile_requirement,district_requirement,social_category,occupation,employment_status,student_status,education_level,farmer_status,land_holding_requirement,disability_status,disability_percentage_min,marital_status,widow_status,bpl_status,rural_urban_requirement,minority_requirement,family_conditions,other_eligibility_conditions,benefit_type,benefit_summary,benefit_amount,application_method,official_application_url,confidence_notes
Guruji Student Credit Card Scheme,STATE,Jharkhand,Higher & Technical Education Department,students|higher education|education loan,Subsidised higher-education loan for eligible Jharkhand students.,VERIFIED,https://www.jharkhand.gov.in/PDirectorate/SchemeList?directorate=cb9cedf50ee60f59d168ebfff812a261,,2026-09-19,,,,,,,Jharkhand,true,,,,,true,HIGHER EDUCATION,,,,,,,,,,,,Education loan,Subsidised education credit.,Loan up to ₹15 lakh at 4% simple interest,,,
Manki Munda Scholarship Yojana,STATE,Jharkhand,Higher & Technical Education Department,students|scholarship,State scholarship for eligible students under the Manki Munda programme.,VERIFIED,https://jharkhand.gov.in/PDepartment/HTESankalpList,,2026-09-19,,,,,,,Jharkhand,true,,,,,true,,,,,,,,,,,,,Scholarship,Higher/technical education scholarship.,,,,Official 2026 amendment confirms current operation; detailed revised thresholds should be read from notification.
Marang Gomke Jaipal Singh Munda Overseas Scholarship,STATE,Jharkhand,"ST, SC, Minority & Backward Class Welfare Department",students|ST welfare|overseas education,Overseas higher-education scholarship for selected eligible students under state welfare rules.,VERIFIED,https://www.jharkhand.gov.in/welfare,,2026-09-19,,,,,,,Jharkhand,true,,,,,true,OVERSEAS HIGHER EDUCATION,,,,,,,,,,,,Overseas scholarship,State support for selected overseas study.,,,,
Eklavya Prashikshan Yojana,STATE,Jharkhand,Higher & Technical Education Department,competitive exams|coaching,Free coaching/support for eligible students preparing for government competitive examinations.,VERIFIED,https://www.jharkhand.gov.in/PDirectorate/SchemeList?directorate=cb9cedf50ee60f59d168ebfff812a261,,2026-09-19,,,,,,,Jharkhand,true,,,,,COMPETITIVE EXAM CANDIDATE,,,,,,,,,,,,,Free coaching,Coaching for UPSC/JPSC/SSC/Railways/Banking and similar exams.,,,,
Mukhyamantri Shiksha Protsahan Yojana,STATE,Jharkhand,Higher & Technical Education Department,students|entrance exams|coaching,Free coaching and support for eligible students preparing for professional entrance examinations.,VERIFIED,https://www.jharkhand.gov.in/PDirectorate/SchemeList?directorate=cb9cedf50ee60f59d168ebfff812a261,,2026-09-19,,,,,,,Jharkhand,true,,,,,true,,,,,,,,,,,,,Free coaching|study support,"Coaching for engineering, medical, law and other professional entrance exams.",,,,
CM Fellowship Programme,STATE,Jharkhand,Higher & Technical Education Department,students|research|fellowship,State fellowship support for eligible higher-education/research candidates.,VERIFIED,https://cm.jharkhand.gov.in/node/16026,,2026-09-19,,,,,,,Jharkhand,true,,,,,true,HIGHER EDUCATION/RESEARCH,,,,,,,,,,,,Fellowship,Research/higher-education fellowship support.,,,,
Balmiki Scholarship Yojana,STATE,Jharkhand,Higher & Technical Education Department,students|scholarship,State scholarship programme reviewed as an operating higher-education welfare scheme.,VERIFIED,https://cm.jharkhand.gov.in/node/16026,,2026-09-19,,,,,,,Jharkhand,true,,,,,true,,,,,,,,,,,,,Scholarship,Education financial assistance.,,,,Current 2026 CM review confirms scheme operation; detailed eligibility should be refreshed from department circular.
Mukhyamantri Rojgar Srijan Yojana,STATE,Jharkhand,"ST, SC, Minority & Backward Class Welfare Department",entrepreneurship|self-employment|social welfare,Collateral-free subsidised enterprise finance for eligible SC/ST/OBC/minority youth.,VERIFIED,https://finance.jharkhand.gov.in/pdf/JES_ExecutiveSummary2025_26.pdf,,2026-09-19,,,,,,,Jharkhand,true,,SC|ST|OBC|MINORITY,,ASPIRING ENTREPRENEUR,,,,,,,,,,,,,,Enterprise loan/subsidy,Collateral-free business finance with state subsidy.,Loan up to ₹25 lakh; subsidy up to 40% reported in Economic Survey,,,
Abua Awas Yojana,STATE,Jharkhand,Rural Development Department,housing|rural welfare,State-funded pucca housing for eligible homeless/poor families outside adequate central housing coverage.,VERIFIED,https://cm.jharkhand.gov.in/sites/default/files/press-release/2024-11/Press_Release_3-18-10-2023%2528English%2529.pdf,,2026-09-19,,,,,,,Jharkhand,true,,,,,,,,,,,,,,RURAL,,,,Housing assistance,State-funded pucca house support.,,,,
Mukhyamantri Abua Swasthya Suraksha Yojana,STATE,Jharkhand,Health Department,health|insurance,State health-protection programme with beneficiary identification and e-card issuance.,VERIFIED,https://bis.jharkhand.gov.in/,,2026-09-19,,,,,,,Jharkhand,true,,,,,,,,,,,,,,,,,,Health coverage,State health insurance/assurance for eligible beneficiaries.,,Online/e-KYC,https://bis.jharkhand.gov.in/,
Birsa Harit Gram Yojana,STATE,Jharkhand,Rural Development Department,rural livelihoods|horticulture|employment,Orchard/tree-based livelihood programme implemented through rural development convergence.,LIKELY_ACTIVE,https://finance.jharkhand.gov.in/pdf/Budget_2024_25/Executive_Summary_2023_24.pdf,,2026-09-19,,,,,,,Jharkhand,true,,,,,,,,,,,,,,RURAL,,,,Livelihood asset/employment,Horticulture/tree plantation livelihood assets and wage work.,,,,
Neelambar Pitambar Jal Samridhi Yojana,STATE,Jharkhand,Rural Development Department,water conservation|rural development,Water-conservation and land-treatment works supporting rural livelihoods.,LIKELY_ACTIVE,https://finance.jharkhand.gov.in/pdf/Economic_Survey_2020_21/JES_Executive_Summary_2020_21.pdf,,2026-09-19,,,,,,,Jharkhand,true,,,,,,,,,,,,,,RURAL,,,,Water/livelihood infrastructure,Water conservation and rural asset creation.,,,,Genuine state programme; current 2026 scheme-specific page was not surfaced.
Veer Shaheed Poto Ho Khel Vikas Yojana,STATE,Jharkhand,Rural Development / Sports,youth|sports|rural development,Rural sports-field infrastructure and youth engagement programme.,LIKELY_ACTIVE,https://www.jharkhand.gov.in/PDepartment/ViewDocument?id=D032DO005SD002217072023050521009,,2026-09-19,,,,,,,Jharkhand,true,,,,,,,,,,,,,,RURAL,,,,Sports infrastructure,Village-level sports-field development.,,,,Documented state programme; 2026-specific continuation source not surfaced.
Integrated Poultry Development Scheme,STATE,Jharkhand,Animal Husbandry Directorate,animal husbandry|women|livelihood,State poultry-development programme supporting rural livelihoods and women-linked poultry enterprise.,VERIFIED,https://animalhusbandry.jharkhand.gov.in/state-schemes/,,2026-09-19,,,,,,,Jharkhand,true,,,POULTRY/LIVESTOCK FARMER,,,,,,,,,,,,,,,Livestock enterprise support,Poultry infrastructure/production livelihood support.,,,,
Backyard / Low Input Layer Poultry Farming Scheme,STATE,Jharkhand,Animal Husbandry Directorate,animal husbandry|rural livelihood,Cluster-based backyard layer-poultry support for rural households.,VERIFIED,https://animalhusbandry.jharkhand.gov.in/state-schemes/,,2026-09-19,,,,,,,Jharkhand,true,,,LIVESTOCK/POULTRY FARMER,,,,,,,,,,,RURAL,,,,Poultry assistance,Support for backyard egg production units.,,,,
Broiler Poultry Unit Scheme,STATE,Jharkhand,Animal Husbandry Directorate,animal husbandry|self-employment,Broiler poultry units for rural livestock farmers to generate additional income.,VERIFIED,https://animalhusbandry.jharkhand.gov.in/state-schemes/,,2026-09-19,,,,,,,Jharkhand,true,,,LIVESTOCK/POULTRY FARMER,,,,,,,,,,,RURAL,,,,Poultry unit assistance,Support for broiler units.,,,,
Duckling Distribution Scheme,STATE,Jharkhand,Animal Husbandry Directorate,animal husbandry|rural livelihood,Duckling distribution for eligible rural poor families to diversify egg/meat income.,VERIFIED,https://animalhusbandry.jharkhand.gov.in/state-schemes/,,2026-09-19,,,,,,,Jharkhand,true,,,LIVESTOCK FARMER,,,,,,,,,,,RURAL,,,,Livestock distribution,Distribution of ducklings to eligible households.,,,,
Paravet Training Scheme,STATE,Jharkhand,Animal Husbandry Directorate / JSIA,skill development|animal husbandry|employment,Residential training for eligible educated unemployed youth as paravets.,VERIFIED,https://animalhusbandry.jharkhand.gov.in/jsia-govt-schemes/,,2026-09-19,18,40,,,,,Jharkhand,true,,,,UNEMPLOYED/YOUTH,,INTERMEDIATE PASS (priority to Biology),,,,,,,,,,,,Skill training|kit,Free residential paravet training with kit after successful completion.,,,,
SUBHADRA,STATE,Odisha,Women & Child Development Department,women|financial assistance,Flagship state financial-assistance programme for eligible women.,VERIFIED,https://ssepd.odisha.gov.in/en,,2026-09-19,,,FEMALE,,,,Odisha,true,,,,,,,,,,,,,,,,,,DBT financial assistance,State income-support payments to eligible women.,,,,
CM KISAN,STATE,Odisha,Agriculture & Farmers' Empowerment Department,farmers|income support,State farmer welfare/income-support scheme including notified farmer categories.,VERIFIED,https://agri.odisha.gov.in/en/schemes-agriculture/agriculture/cm-kisan,,2026-09-19,,,,,,,Odisha,true,,,,,,,true,,,,,,,,,,,Farmer financial assistance,State financial assistance to eligible farmers; includes notified urban-farmer inclusion.,,,,
Krishi Vidya Nidhi Scholarship,STATE,Odisha,Agriculture & Farmers' Empowerment Department,students|farm families|scholarship,Education scholarship linked to eligible farm families under CM KISAN framework.,VERIFIED,https://agri.odisha.gov.in/en/schemes-agriculture/agriculture/cm-kisan,,2026-09-19,,,,,,,Odisha,true,,,,,true,,,,,,,,,,,,,Scholarship,Education support for eligible farmer-family students.,,,,
Mukhyamantri Krushi Udyog Yojana (MKUY),STATE,Odisha,Agriculture & Farmers' Empowerment Department,agriculture|entrepreneurship|MSME,Capital-investment and credit-linked support for agriculture and allied-sector enterprises.,VERIFIED,https://agri.odisha.gov.in/en/schemes/state-sector-scheme/mukhyamantri-krushi-udyog-yojana,,2026-09-19,,,,,,,Odisha,true,,,,AGRI-ENTREPRENEUR,,,,,,,,,,,,,,Capital subsidy/credit support,Support for eligible agriculture/allied enterprises.,,,,
BALARAM,STATE,Odisha,Agriculture & Farmers' Empowerment Department,landless farmers|credit|livelihood,Credit/livelihood model for landless agricultural labourers and cultivators.,VERIFIED,https://agri.odisha.gov.in/en/schemes-agriculture/agriculture/BALARAM,,2026-09-19,,,,,,,Odisha,true,,,LANDLESS AGRICULTURIST/AGRICULTURAL LABOUR,,,,,,,,,,,,,,,Credit/livelihood support,Institutional credit access through group-based model.,,,,
Samrudha Krushak Yojana,STATE,Odisha,Agriculture & Farmers' Empowerment Department,farmers|agriculture|income support,State agriculture programme listed in the current agriculture-schemes catalogue.,VERIFIED,https://agri.odisha.gov.in/en/schemes-agriculture/agriculture,,2026-09-19,,,,,,,Odisha,true,,,,,,,true,,,,,,,,,,,Agriculture financial/support assistance,Farmer support under notified current guidelines.,,,,
Shree Anna Abhiyan,STATE,Odisha,Agriculture & Farmers' Empowerment Department,farmers|millets|agriculture,"State millet-focused programme promoting production, value chains and consumption.",VERIFIED,https://agri.odisha.gov.in/en/schemes-agriculture/agriculture,,2026-09-19,,,,,,,Odisha,true,,,,,,,true,,,,,,,,,,,Agriculture support,Millet cultivation/value-chain support.,,,,
Promotion of Indigenous Aromatic & Non-aromatic Paddy Scheme,STATE,Odisha,Agriculture & Farmers' Empowerment Department,farmers|paddy|market linkage,Support for indigenous paddy varieties with export/local-market potential.,VERIFIED,https://agri.odisha.gov.in/en/schemes-agriculture/agriculture,,2026-09-19,,,,,,,Odisha,true,,,,,,,true,,,,,,,,,,,Crop promotion support,Input/market-linked support for notified indigenous paddy.,,,,
Financial Assistance to Cold Storage Scheme,STATE,Odisha,Agriculture & Farmers' Empowerment Department,agriculture infrastructure|entrepreneurship,State financial assistance for eligible cold-storage investment.,VERIFIED,https://agri.odisha.gov.in/en/policies-and-packages,,2026-09-19,,,,,,,Odisha,true,,,,ENTREPRENEUR/ENTITY,,,,,,,,,,,,,,Capital assistance,Financial support for eligible cold-storage infrastructure.,,,,
Madhu Babu Pension Yojana,STATE,Odisha,Social Security & Empowerment of Persons with Disabilities Department,pension|senior citizens|widows|disability,"State pension covering eligible elderly, widows, disabled persons and specified vulnerable groups.",VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programmes/schemes/madhu-babu-pension-yojna-mbpy,,2026-09-19,60,,,FAMILY_ANNUAL,,24000,Odisha,true,,,,,,,,,,,,,,,,,"Also covers widows, specified persons with disabilities/leprosy/AIDS under scheme rules irrespective of the generic age path.",Pension,Monthly social-security pension.,,,,
Marriage Incentive for Persons with Disabilities,STATE,Odisha,SSEPD Department,disability|marriage assistance,Marriage incentive for eligible persons with disabilities.,VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,,,,,,true,,MARRIED,,,,,,,Marriage incentive,Financial incentive for qualifying marriage.,,,,
Free Laptop for Visually Impaired Students,STATE,Odisha,SSEPD Department,students|disability|digital access,Free laptop assistance for eligible visually impaired students.,VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,,true,,,,VISUAL IMPAIRMENT,,,,,,,,,Laptop/device,Free laptop for eligible visually impaired students.,,,,
Banishree Scholarship,STATE,Odisha,SSEPD Department,students|disability|scholarship,Scholarship support for eligible students with disabilities.,VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,,true,,,,true,,,,,,,,,Scholarship,Education scholarship from primary level upward under scheme categories.,,,,
Bhima Bhoi Bhinnakshyama Samarthya Abhiyan (BBSA),STATE,Odisha,SSEPD Department,disability|assistive services,Comprehensive support/assistive-services programme for persons with disabilities.,VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,,,,,,true,,,,,,,,,Assistive/rehabilitation support,"Aids, appliances and disability-support services.",,,,
SAHAYA,STATE,Odisha,SSEPD Department,destitute|rehabilitation|social welfare,"Protection, care and rehabilitation scheme for beggars and destitute persons.",VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,,,,,,,,,,,,,,,Care/rehabilitation,Institutional/community rehabilitation and support.,,,,
DISHAA,STATE,Odisha,SSEPD Department,substance abuse|rehabilitation,Rehabilitation initiative for victims of substance abuse.,VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,,,,,,,,,,,,,,,Rehabilitation services,Treatment/rehabilitation support through approved service framework.,,,,
ABADANA,STATE,Odisha,SSEPD Department,senior citizens|social welfare,Welfare and protection programme for senior citizens.,VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,,,,,,,,,,,,,,,Senior-citizen welfare services,"Protection, care and welfare interventions.",,,,
Sweekruti,STATE,Odisha,SSEPD Department,transgender welfare|social inclusion,"State scheme promoting transgender equality, justice and welfare.",VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,,,,,,,,,,,,,,,Welfare/empowerment assistance,Support for social protection and empowerment of transgender persons.,,,,
Skill Development Training for PwDs,STATE,Odisha,SSEPD Department,disability|skill development|employment,Skill-development training for eligible persons with disabilities.,VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,TRAINEE/JOB SEEKER,,,,,true,,,,,,,,,Skill training,Vocational and employability training.,,,,
Umbrella Scheme for Rehabilitation of Cured Leprosy Persons,STATE,Odisha,SSEPD Department,leprosy|rehabilitation|social welfare,Rehabilitation support for cured leprosy-affected persons.,VERIFIED,https://ssepd.odisha.gov.in/en/schemes-programme/ssedp-schemes,,2026-09-19,,,,,,,Odisha,true,,,,,,,,,LEPROSY-AFFECTED/CURED,,,,,,,,,Rehabilitation support,Social/economic rehabilitation measures.,,,,
Annapurna Yojana,STATE,West Bengal,Women & Child Development and Social Welfare Department,women|financial assistance,Monthly financial assistance for eligible women residents.,VERIFIED,https://wb.gov.in/government-schemes-details-annaapurna-yojana.aspx,,2026-09-19,25,60,FEMALE,,,,West Bengal,true,,,,,,,,,,,,,,,,,"Must not be permanent government employee, income-tax payer or illegal immigrant.",DBT cash assistance,Monthly financial support.,"₹3,000 per month",Online/offline,https://socialregistry.wb.gov.in/,
Banglar Yuba Sathi,STATE,West Bengal,State Government / Youth Employment,unemployment|youth|financial assistance,Monthly assistance for eligible educated unemployed youth.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,21,40,,,,,West Bengal,true,,,,UNEMPLOYED EDUCATED YOUTH,,,,,,,,,,,,,,Monthly financial assistance,Temporary support until employment/other scheme enrollment or maximum scheme period.,"₹1,500 per month",,,
Student Internship Programme 2024,STATE,West Bengal,Higher Education Department,students|internship|employment,Paid internship opportunities in government offices/local bodies for eligible students.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,40,,,,,West Bengal,true,,,,,true,UNDERGRADUATE|ITI|POLYTECHNIC,,,,,,,,,,,Minimum 60% in qualifying/preliminary examination per CMO scheme page.,Internship stipend,Government internship with practical work exposure.,"₹10,000 per month",,,
Aikyashree,STATE,West Bengal,Minority Affairs & Madrasah Education Department,students|minority welfare|scholarship,State scholarship umbrella for eligible minority students.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,,true,,,,,,,,,,true,,,Scholarship,Education financial assistance across eligible levels.,,,,
Utkarsh Bangla,STATE,West Bengal,"Technical Education, Training & Skill Development",skill development|employment,Placement-linked short-term skill training for youth.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,TRAINEE/JOB SEEKER,,,,,,,,,,,,,,Skill training,Placement-linked vocational training.,,,,
Bangla Abash Yojana,STATE,West Bengal,Panchayat & Rural Development / Housing,housing|rural welfare,State housing support for underprivileged families lacking adequate homes.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,,,,,,,,,,,,,,,Housing assistance,Support for stable housing to eligible families.,,,,
Karmashree,STATE,West Bengal,Panchayat & Rural Development Department,employment|rural development,State programme guaranteeing a targeted number of wage-employment days to eligible job-card households.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,RURAL JOB-CARD HOUSEHOLD,,,,,,,,,,RURAL,,,,Wage employment,State-funded wage-employment opportunities.,Target of at least 50 days per household per financial year,,,
Lokprasar Prakalpo,STATE,West Bengal,Information & Cultural Affairs Department,artists|pension|livelihood,"Identity, retainer/pension and engagement support for eligible folk artists.",VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,FOLK ARTIST,,,,,,,,,,,,,,,Honorarium/pension|work engagement,Support for veteran/distressed and active folk artists.,,,,
Chaa Sundari Extension Scheme,STATE,West Bengal,Labour Department / Housing,tea workers|housing,Financial assistance for eligible tea-garden workers to build houses on allotted land.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,TEA GARDEN WORKER,,,,,,,,,,,,,,,Housing assistance,House-construction assistance.,"₹1,20,000",,,
Swami Vivekananda Merit-cum-Means Scholarship (SVMCM),STATE,West Bengal,Higher Education Department,students|scholarship|higher education,Merit-cum-means scholarship for eligible students from economically weaker families.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,,true,CLASS 11 TO POSTGRADUATE,,,,,,,,,,,,Scholarship,Merit-cum-means support for regular study.,,,,
Sabuj Sathi,STATE,West Bengal,School Education Department,students|mobility|school education,Free bicycles for eligible students in government/government-aided schools.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,,true,CLASS 9-12,,,,,,,,,,,,Bicycle,Free bicycle for school mobility.,,,,
Duare Ration,STATE,West Bengal,Food & Supplies Department,food security,Doorstep delivery of ration items to beneficiaries covered under Khadya Sathi.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,,,,,,,,,,,,,,,Food delivery,Doorstep ration delivery for eligible ration beneficiaries.,,,,
Samobyathi,STATE,West Bengal,Panchayat & Rural Development / Municipal Affairs,funeral assistance|social welfare,One-time assistance to poor families for cremation/burial expenses.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,,,,,,,,,,,,,Claim by next of kin/nearest family member of deceased.,,Funeral assistance,One-time support for cremation/burial.,,,,
Taruner Swapna,STATE,West Bengal,School Education Department,students|digital access,One-time grant for eligible class 11/12 students to buy digital devices.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,FAMILY_ANNUAL,,200000,West Bengal,true,,,,,true,CLASS 11-12,,,,,,,,,,,,Device purchase grant,Grant for smartphone/tablet/PC.,"₹10,000 one-time",,,
Bangla Shasya Bima,STATE,West Bengal,Agriculture Department,farmers|crop insurance,Wholly state-funded crop insurance for eligible farmers.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,,,,true,,,,,,,,,,,Crop insurance,Insurance compensation for notified crop losses.,,,,
Yogyashree Scheme,STATE,West Bengal,Backward Classes Welfare / State Government,students|coaching|competitive exams,"Free training/coaching support for students preparing for engineering, medical and government-service examinations.",VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,,true,,,,,,,,,,,,,Free coaching,Coaching for JEE/medical/other competitive examinations.,,,,
Khadya Sathi,STATE,West Bengal,Food & Supplies Department,food security|PDS,State food-security programme providing subsidised/free foodgrain access to eligible households.,VERIFIED,https://cm.wb.gov.in/ncmo/Public/Scheme_Master.aspx,,2026-09-19,,,,,,,West Bengal,true,,,,,,,,,,,,,,,,,,Food security/PDS,Foodgrain entitlement through state ration system.,,,,
Lakshmir Bhandar,STATE,West Bengal,Women & Child Development and Social Welfare Department,women|financial assistance,Monthly income-support programme for adult women.,VERIFIED,https://wcdsw.wb.gov.in/cw/duare-sarkar-campaign/,,2026-09-19,,,FEMALE,,,,West Bengal,true,,,,,,,,,,,,,,,,,,DBT cash assistance,Assured monthly financial support.,,,,
Rupashree Prakalpa,STATE,West Bengal,Women & Child Development and Social Welfare Department,women|marriage assistance,One-time grant to economically stressed families for adult daughters' marriages.,VERIFIED,https://wcdsw.wb.gov.in/cw/duare-sarkar-campaign/,,2026-09-19,18,,FEMALE,,,,West Bengal,true,,,,,,,,,,,ELIGIBLE FOR MARRIAGE,,,,,,,Marriage assistance,One-time marriage grant.,"₹25,000",,,
Kanyashree Prakalpa,STATE,West Bengal,Women & Child Development and Social Welfare Department,girls|students|education,Cash-transfer programme encouraging girls to remain in education and delay marriage.,VERIFIED,https://wcdsw.wb.gov.in/cw/duare-sarkar-campaign/,,2026-09-19,13,,FEMALE,,,,West Bengal,true,,,,,true,,,,,,UNMARRIED,,,,,,,Education/lifecycle cash assistance,Annual incentive plus one-time grant after age 18 subject to conditions.,,,,
